age,gender,height_cm,weight_kg,body_fat_percent,diastolic,systolic,gripforce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class,height_m,bmi
62.0,M,169.0,70.7,30.5,96.0,146.0,39.3,4.0,43.0,131.0,C,1.69,24.754035222856345
47.0,F,158.3,53.5,29.2,70.0,117.0,25.9,8.1,32.0,151.0,D,1.5830000000000002,21.349708626359742
48.0,M,175.8,84.5,31.4,83.0,125.0,33.8,3.7,24.0,211.0,D,1.758,27.34128786849261
36.0,M,176.0,81.3,24.5,81.0,139.0,46.2,8.1,54.0,232.0,C,1.76,26.246126033057852
50.0,F,159.8,57.1,24.4,63.0,103.0,30.8,24.4,30.0,143.0,A,1.598,22.36055394650071
25.0,M,170.9,70.7,15.7,80.0,127.0,36.4,26.4,38.0,246.0,C,1.709,24.206683304338956
26.0,M,176.7,77.2,16.3,66.0,129.0,50.0,9.1,51.0,223.0,C,1.767,24.725449822229784
28.0,F,159.5,51.54,24.5,82.0,123.0,37.2,23.0,37.0,145.0,A,1.595,20.25923487387113
30.0,M,172.1,79.5,26.7,91.0,148.0,34.7,-2.0,40.0,192.0,D,1.7209999999999999,26.841413836867005
49.0,F,151.5,52.0,27.6,77.0,144.0,23.8,21.3,39.0,154.0,B,1.515,22.655730919626617
40.0,M,177.6,88.6,20.3,93.0,138.0,51.5,12.1,54.0,224.0,C,1.776,28.08974515055596
21.0,M,172.5,66.4,12.5,82.0,130.0,51.2,6.3,46.0,178.0,D,1.725,22.314639781558494
31.0,M,177.5,79.5,23.0,90.0,148.0,51.2,18.4,62.0,208.0,A,1.775,25.233088672882367
32.0,M,178.0,84.5,21.2,68.0,130.0,52.3,16.2,62.0,232.0,A,1.78,26.669612422673904
27.0,M,177.6,79.7,22.8,59.0,108.0,48.0,1.8,59.0,219.0,D,1.776,25.268089034980928
42.0,M,168.0,61.0,14.9,94.0,151.0,28.9,1.0,32.0,230.0,D,1.68,21.612811791383223
52.0,M,173.6,84.9,30.3,93.0,144.0,42.0,9.0,43.0,185.0,D,1.736,28.17138822230245
39.0,M,173.3,69.8,23.8,76.0,137.0,40.0,18.2,38.0,227.0,C,1.733,23.24118657911376
33.0,F,159.6,60.5,32.1,62.0,106.0,21.9,22.2,24.0,129.0,C,1.5959999999999999,23.751421159414832
25.0,F,161.8,57.7,21.7,74.0,115.0,29.3,26.6,50.0,190.0,A,1.618,22.04036480814569
31.0,M,169.9,73.1,19.2,97.0,145.0,45.0,14.5,37.0,249.0,D,1.699,25.323901710004254
34.0,M,183.6,76.82,16.3,80.0,120.0,46.3,14.2,55.0,220.0,B,1.8359999999999999,22.789193140340135
26.0,M,172.1,66.1,24.9,62.0,102.0,19.9,-9.9,44.0,159.0,D,1.7209999999999999,22.317200687005144
28.0,M,180.1,82.1,15.0,83.0,147.0,52.6,18.8,55.0,247.0,A,1.801,25.311374611118936
58.0,M,164.2,64.0,19.8,93.0,150.0,36.8,18.3,38.0,205.0,B,1.642,23.737428435362244
48.0,M,169.8,75.4,14.7,94.0,149.0,51.4,24.7,55.0,246.0,A,1.6980000000000002,26.151462054020456
23.0,M,180.1,65.9,14.4,72.0,130.0,45.4,18.1,56.0,234.0,A,1.801,20.316925540471843
38.0,F,157.2,51.7,27.3,64.0,106.0,25.1,14.7,19.0,139.0,C,1.5719999999999998,20.921145491391986
43.0,F,168.3,69.3,31.9,88.0,139.0,32.1,20.2,33.0,164.0,B,1.683,24.466114431512352
21.0,F,159.5,51.3,35.8,80.0,122.0,16.6,2.1,5.0,105.0,D,1.595,20.164896178300133
56.0,M,166.7,56.9,16.5,90.0,147.0,41.6,17.8,30.0,198.0,B,1.6669999999999998,20.475808857424678
24.0,M,164.4,66.2,17.1,63.0,110.0,40.2,16.2,43.0,232.0,C,1.6440000000000001,24.493698237637712
58.0,F,146.5,46.4,32.9,71.0,127.0,18.7,17.4,20.0,111.0,C,1.465,21.61935491386038
42.0,M,174.1,103.1,30.5,78.0,123.0,50.7,3.6,25.0,153.0,D,1.7409999999999999,34.014267517100336
45.0,M,185.4,80.0,21.9,93.0,144.0,46.2,7.1,22.0,205.0,D,1.854,23.27397306503097
37.0,M,168.9,78.8,23.4,88.0,144.0,42.1,20.9,47.0,241.0,C,1.689,27.62275034957852
31.0,M,175.3,83.6,30.1,93.0,152.0,45.9,7.2,55.0,193.0,D,1.7530000000000001,27.204606299558506
43.0,F,164.0,50.8,22.4,88.0,124.0,24.0,13.5,28.0,160.0,C,1.64,18.887566924449736
23.0,F,162.4,58.9,29.6,71.0,119.0,28.1,25.5,48.0,178.0,A,1.624,22.33280351379553
59.0,F,165.0,63.7,31.4,77.0,120.0,20.8,25.5,30.0,120.0,B,1.65,23.397612488521585
63.0,M,166.6,75.5,31.6,62.0,122.0,34.1,6.7,17.0,140.0,D,1.666,27.20175705336156
40.0,M,174.2,77.6,17.8,85.0,133.0,49.5,12.1,48.0,213.0,B,1.742,25.57204263940388
27.0,F,150.5,55.7,39.6,66.0,114.0,29.7,13.4,23.0,159.0,D,1.505,24.591340051434315
56.0,F,160.2,62.4,33.3,67.0,103.0,28.8,20.7,15.0,133.0,B,1.6019999999999999,24.31417656767992
35.0,M,179.0,75.0,10.7,74.0,129.0,47.7,16.6,54.0,233.0,A,1.79,23.40750912892856
30.0,M,172.7,78.0,26.6,79.0,140.0,36.9,3.4,25.0,218.0,D,1.7269999999999999,26.15230229110933
56.0,M,160.2,62.7,30.2,85.0,140.0,35.4,9.5,27.0,184.0,C,1.6019999999999999,24.431071647332228
36.0,M,171.5,80.5,21.5,86.0,153.0,46.7,16.8,53.0,220.0,A,1.715,27.369548402451358
60.0,M,175.1,66.5,17.3,85.0,125.0,40.4,13.9,31.0,211.0,C,1.751,21.68949064269712
22.0,M,172.2,70.6,24.3,70.0,118.0,36.7,9.8,50.0,213.0,D,1.722,23.808849337871177
22.0,M,171.9,78.46,22.9,64.0,116.0,43.6,-9.3,46.0,219.0,D,1.719,26.551957876939824
37.0,M,174.0,75.2,18.5,82.0,142.0,39.7,20.5,50.0,224.0,B,1.74,24.838155634826265
21.0,F,158.1,53.6,27.63524,70.0,115.0,18.9,12.4,17.0,116.0,D,1.581,21.44376552522623
21.0,M,170.4,74.3,19.5,82.0,157.0,45.6,12.7,54.0,194.0,B,1.704,25.588783089774957
60.0,F,158.6,62.7,34.6,80.0,137.0,29.3,18.4,12.0,132.0,B,1.5859999999999999,24.926492687433715
27.0,F,168.5,64.2,26.2,76.0,108.0,25.2,23.1,18.0,164.0,D,1.685,22.611804277575747
59.0,F,156.3,60.5,33.6,79.0,130.0,29.6,22.4,23.0,135.0,A,1.5630000000000002,24.764947897414984
47.0,F,157.0,54.1,26.8,72.0,117.0,25.1,18.2,25.0,157.0,B,1.57,21.948152054850095
21.0,F,161.3,50.6,23.5,69.0,127.0,27.5,29.4,39.0,175.0,A,1.6130000000000002,19.448306133250103
51.0,M,177.0,68.7,18.3,84.0,140.0,39.3,11.3,35.0,220.0,B,1.77,21.928564588719716
48.0,M,171.0,66.2,17.3,99.0,144.0,48.8,16.0,49.0,225.0,B,1.71,22.63944461543723
49.0,M,170.0,66.2,18.0,82.0,130.0,39.5,20.0,39.0,156.0,C,1.7,22.90657439446367
41.0,F,158.1,51.0,21.7,86.0,127.0,23.1,28.6,46.0,165.0,A,1.581,20.403582869151823
24.0,F,159.0,45.5,24.5,85.0,135.0,28.5,22.9,57.0,197.0,A,1.59,17.99770578695463
35.0,M,178.4,79.0,15.4,73.0,127.0,52.7,14.7,68.0,260.0,A,1.784,24.822035432041666
26.0,F,156.7,56.3,32.8,78.0,123.0,19.7,22.9,28.0,130.0,C,1.567,22.9282232581779
35.0,M,178.5,78.4,13.8,81.0,136.0,51.5,17.1,64.0,237.0,A,1.785,24.605920799692427
25.0,M,171.2,65.1,11.8,67.0,127.0,45.1,22.2,54.0,239.0,A,1.712,22.211273910385188
30.0,M,176.4,71.7,17.9,68.0,130.0,53.4,24.3,56.0,210.0,B,1.764,23.042096657257005
27.0,M,175.4,86.4,19.8,76.0,135.0,47.6,20.6,48.0,213.0,B,1.754,28.08371547555742
41.0,M,166.7,65.7,21.5,90.0,151.0,49.6,18.7,54.0,242.0,A,1.6669999999999998,23.64254203748333
50.0,F,158.4,57.2,32.0,69.0,134.0,21.1,18.6,17.0,136.0,C,1.584,22.797418630751963
22.0,M,175.8,72.0,30.4,75.0,115.0,34.6,19.0,54.0,188.0,C,1.758,23.296718657177134
56.0,M,173.0,70.9,19.5,83.0,135.0,47.9,11.1,44.0,162.0,B,1.73,23.689398242507266
46.0,F,159.1,52.2,27.2,84.0,127.0,22.9,17.9,30.0,136.0,D,1.591,20.62196966674186
44.0,M,180.5,79.5,21.7,87.0,127.0,42.3,10.8,33.0,196.0,C,1.805,24.401286055202156
25.0,F,162.2,71.5,41.3,75.0,124.0,24.9,7.0,5.0,120.0,D,1.6219999999999999,27.17717694888867
25.0,F,156.3,48.6,26.5,73.0,138.0,22.8,29.8,41.0,155.0,A,1.5630000000000002,19.893825914287078
59.0,M,170.0,59.1,15.0,71.0,115.0,28.3,8.6,15.0,162.0,D,1.7,20.44982698961938
30.0,M,178.4,82.5,30.0,97.0,139.0,39.3,1.9,42.0,200.0,D,1.784,25.921745862575158
24.0,M,176.0,67.2,10.8,81.0,120.0,47.7,17.2,55.0,242.0,A,1.76,21.694214876033058
39.0,M,168.8,70.9,25.5,83.0,128.0,33.7,5.4,33.0,201.0,D,1.6880000000000002,24.882920419577275
27.0,M,170.3,74.6,22.0,98.0,151.0,47.9,14.5,53.0,170.0,B,1.703,25.72228415262486
33.0,M,172.8,78.8,19.3,87.0,146.0,59.8,19.7,59.0,228.0,A,1.7280000000000002,26.38996056241426
28.0,F,163.6,52.4,20.3,72.0,118.0,31.0,23.5,23.0,130.0,C,1.636,19.577836096149593
28.0,F,166.2,59.7,21.9,72.0,118.0,32.1,15.6,38.0,165.0,B,1.662,21.612862585636897
35.0,M,179.2,64.7,12.9,88.0,128.0,49.7,22.5,46.0,239.0,A,1.7919999999999998,20.147829639668373
34.0,M,177.8,76.4,28.9,82.0,130.0,41.1,5.3,38.0,194.0,C,1.778,24.167395273566058
35.0,M,184.7,84.18,16.3,70.0,120.0,48.8,15.3,56.0,229.0,A,1.847,24.67602096377186
34.0,M,173.2,73.77,19.5,80.0,120.0,50.0,18.1,59.0,218.0,B,1.732,24.591442697971615
25.0,M,164.3,61.18,22.0,78.0,145.0,43.3,18.6,47.0,209.0,C,1.643,22.663884370477085
32.0,M,169.2,68.7,15.2,80.0,120.0,48.3,21.1,64.0,254.0,B,1.692,23.996948510302975
21.0,F,169.1,56.1,22.6,77.0,120.0,26.3,31.3,24.0,162.0,C,1.6909999999999998,19.61894483649306
22.0,M,183.5,76.9,15.7,86.0,143.0,40.9,22.8,56.0,253.0,A,1.835,22.83779670203209
22.0,F,156.9,46.9,23.0,98.0,155.0,20.5,16.5,38.0,155.0,B,1.569,19.05140263413061
24.0,M,172.1,64.5,16.8,88.0,154.0,40.2,21.7,63.0,201.0,B,1.7209999999999999,21.77699613179776
27.0,M,178.2,75.1,15.9,59.0,129.0,49.2,16.7,55.0,229.0,A,1.7819999999999998,23.649640185367836
21.0,F,164.4,48.1,16.9,63.0,112.0,26.5,29.4,41.0,215.0,A,1.6440000000000001,17.796780743661238
46.0,F,164.1,49.1,30.5,59.0,117.0,21.2,4.3,16.0,150.0,D,1.641,18.23326021461773
29.0,F,162.2,51.7,29.2,83.0,118.0,29.7,23.7,44.0,183.0,A,1.6219999999999999,19.6511894861195
23.0,F,162.7,51.7,19.0,76.0,110.0,32.6,21.4,59.0,200.0,D,1.6269999999999998,19.53059333338119
51.0,M,177.9,67.2,15.8,63.0,112.0,36.6,13.7,25.0,183.0,D,1.7790000000000001,21.23329418444718
28.0,M,184.8,84.6,17.2,83.0,123.0,52.5,11.7,56.0,257.0,B,1.848,24.772305616461455
23.0,F,164.7,44.3,26.7,80.0,130.0,22.3,12.5,25.0,130.0,C,1.6469999999999998,16.331140979035318
30.0,M,178.3,93.5,27.3,81.0,129.0,57.0,16.1,47.0,222.0,A,1.7830000000000001,29.410941310545248
25.0,F,160.1,51.7,30.7,71.0,126.0,25.7,21.1,47.0,159.0,A,1.601,20.17009200605025
28.0,M,172.7,69.8,27.6,81.0,149.0,46.5,10.0,48.0,185.0,C,1.7269999999999999,23.402957691274757
22.0,M,178.3,73.2,23.4,93.0,132.0,42.7,11.7,46.0,208.0,C,1.7830000000000001,23.025464213175532
51.0,M,167.7,72.7,29.0,90.0,148.0,36.3,6.1,37.0,180.0,D,1.6769999999999998,25.85046059689319
24.0,F,165.1,49.9,19.3,70.0,108.0,31.8,21.6,50.0,204.0,A,1.651,18.306545488830622
27.0,F,160.3,47.8,19.5,60.0,111.0,27.3,28.0,37.0,173.0,A,1.6030000000000002,18.602051907508102
61.0,F,153.2,62.2,37.0,71.0,111.0,25.7,3.0,0.0,58.0,D,1.5319999999999998,26.501646340216386
30.0,M,169.5,71.9,20.6,72.0,125.0,45.9,13.0,66.0,235.0,B,1.695,25.02588734870041
42.0,M,180.2,73.3,20.4,95.0,140.0,53.7,26.0,41.0,211.0,C,1.8019999999999998,22.57326610831965
22.0,M,180.3,91.7,32.1,75.0,134.0,28.6,-6.9,36.0,210.0,D,1.8030000000000002,28.208362902895857
23.0,F,164.7,62.5,31.4,77.0,121.0,23.2,14.7,41.0,165.0,C,1.6469999999999998,23.04054878532071
27.0,F,160.2,54.5,20.7,77.0,130.0,22.2,22.5,35.0,171.0,C,1.6019999999999999,21.23593947016916
29.0,M,167.9,70.7,25.3,75.0,135.0,47.3,16.2,53.0,181.0,B,1.679,25.079450777764492
62.0,M,165.6,67.6,25.7,84.0,152.0,40.5,9.8,41.0,188.0,B,1.656,24.650516931550328
21.0,M,169.2,92.9,33.3,93.0,157.0,44.6,10.9,52.0,226.0,D,1.692,32.45002207579543
25.0,M,184.1,74.7,12.6,94.0,141.0,49.5,13.0,49.0,243.0,C,1.841,22.040072806002218
31.0,F,166.9,64.1,30.5,77.0,133.0,27.5,21.5,37.0,150.0,B,1.669,23.011522634040322
21.0,M,175.0,66.4,16.5,77.0,124.0,39.4,13.0,54.0,248.0,C,1.75,21.681632653061225
38.0,M,171.6,66.3,20.5,92.0,153.0,46.0,26.2,46.0,204.0,B,1.716,22.515363424454335
23.0,F,178.1,64.2,29.2,55.0,102.0,29.9,14.6,27.0,126.0,C,1.781,20.239845319661878
56.0,M,170.1,61.5,22.0,89.0,148.0,37.7,20.5,40.0,195.0,A,1.7009999999999998,21.255263269764548
59.0,M,170.3,71.0,24.5,75.0,140.0,30.1,22.0,33.0,182.0,D,1.703,24.480994300755565
23.0,F,164.4,54.3,21.7,61.0,109.0,27.0,31.7,44.0,186.0,A,1.6440000000000001,20.09075248192942
52.0,M,170.0,75.5,30.4,77.0,127.0,39.6,10.2,29.0,186.0,D,1.7,26.124567474048447
33.0,M,178.0,74.66,19.0,96.0,135.0,43.1,18.6,37.0,198.0,C,1.78,23.563943946471404
58.0,F,154.9,51.6,24.1,85.0,132.0,25.3,19.4,31.0,165.0,B,1.5490000000000002,21.505367381275573
21.0,F,160.9,61.4,36.5,71.0,103.0,27.3,20.8,47.0,169.0,C,1.609,23.716810467534046
27.0,M,176.0,72.86,18.6,78.0,155.0,39.7,10.1,53.0,231.0,B,1.76,23.521435950413224
27.0,M,173.5,65.3,14.3,76.0,137.0,39.1,12.1,46.0,229.0,C,1.735,21.692730609838133
21.0,F,163.0,62.3,32.9,75.0,131.0,33.3,12.2,44.0,167.0,C,1.63,23.448379690616886
57.0,M,168.5,66.0,24.1,88.0,156.0,42.1,9.5,30.0,212.0,B,1.685,23.245780098442353
29.0,F,166.7,52.84,15.2,74.0,125.0,30.7,29.7,48.0,186.0,A,1.6669999999999998,19.01479332207944
45.0,M,170.0,70.0,20.0,73.0,137.0,34.2,8.5,36.0,219.0,D,1.7,24.221453287197235
24.0,F,155.5,64.4,34.8,60.0,109.0,24.7,16.7,43.0,174.0,B,1.555,26.633306107256963
50.0,F,163.9,52.5,19.6,89.0,151.0,25.4,18.0,26.0,171.0,B,1.639,19.54345739023743
60.0,M,173.0,68.4,11.4,70.0,124.0,47.1,12.3,52.0,195.0,A,1.73,22.85408800828628
62.0,M,163.7,63.9,23.3,93.0,144.0,42.7,25.0,29.0,211.0,B,1.6369999999999998,23.84533890794319
39.0,F,159.2,45.3,19.6,64.0,105.0,20.8,18.7,36.0,161.0,B,1.5919999999999999,17.87360167672534
22.0,F,162.2,60.4,27.1,74.0,115.0,34.9,22.6,37.0,148.0,A,1.6219999999999999,22.95806276521504
54.0,F,156.5,52.2,30.1,72.0,117.0,20.5,13.5,16.0,110.0,C,1.565,21.312864273392606
48.0,M,167.2,68.5,28.2,75.0,112.0,39.2,7.0,31.0,195.0,C,1.672,24.50293033584396
61.0,F,160.9,63.1,30.9,83.0,130.0,27.5,21.1,27.0,140.0,A,1.609,24.373464829013002
60.0,M,172.5,76.0,23.1,86.0,154.0,47.3,16.0,41.0,206.0,A,1.725,25.54085276202478
27.0,M,168.6,67.2,23.7,77.0,123.0,45.0,11.6,41.0,223.0,C,1.686,23.640362541845555
40.0,F,162.5,51.4,22.5,91.0,143.0,26.9,26.3,36.0,174.0,A,1.625,19.465088757396448
36.0,M,172.1,65.64,19.9,86.0,142.0,47.3,15.4,39.0,215.0,B,1.7209999999999999,22.16189187738302
58.0,M,168.5,74.9,30.1,89.0,139.0,40.6,15.8,29.0,188.0,B,1.685,26.38043832383837
55.0,F,152.8,55.6,31.3,78.0,129.0,23.9,15.7,23.0,130.0,C,1.528,23.813766070009045
25.0,F,158.1,57.9,31.5,61.0,117.0,24.5,13.7,59.0,157.0,C,1.581,23.164067610272365
21.0,M,169.6,64.5,10.9,77.0,134.0,46.2,21.5,65.0,248.0,A,1.696,22.42373843004628
23.0,F,163.8,57.5,31.7,84.0,127.0,32.9,28.8,43.0,164.0,A,1.6380000000000001,21.43088223674304
64.0,M,165.8,61.3,8.5,66.0,114.0,34.9,7.6,33.0,166.0,B,1.6580000000000001,22.299309849092236
21.0,M,187.4,84.4,18.8,82.0,151.0,50.8,16.8,49.0,257.0,B,1.874,24.032739196942032
56.0,F,149.4,51.6,35.1,83.0,132.0,25.5,18.8,11.0,117.0,C,1.494,23.117906700429565
22.0,M,167.3,61.4,16.4,68.0,114.0,38.8,19.9,67.0,240.0,A,1.673,21.93696231665755
28.0,F,165.4,62.0,31.1,58.0,102.0,25.0,21.7,31.0,170.0,C,1.6540000000000001,22.663171177125108
53.0,F,152.7,46.9,27.5,68.0,126.0,23.5,18.5,20.0,152.0,B,1.527,20.113829694617174
23.0,M,165.7,62.7,23.2,70.0,123.0,37.7,25.5,35.0,237.0,D,1.6569999999999998,22.83613091112521
46.0,M,176.8,80.9,22.7,82.0,141.0,50.1,22.1,45.0,206.0,A,1.768,25.881175651604185
56.0,F,148.2,54.7,37.7,85.0,125.0,22.7,10.7,0.0,134.0,D,1.482,24.905250773565285
44.0,M,172.0,71.0,18.1,69.0,113.0,48.3,28.7,52.0,203.0,A,1.72,23.99945916711736
27.0,M,173.8,68.4,13.9,69.0,110.0,47.8,14.1,49.0,244.0,B,1.7380000000000002,22.644177864058125
45.0,M,166.5,71.5,26.6,99.0,160.0,47.8,24.2,47.0,201.0,A,1.665,25.791557323088853
63.0,M,164.7,73.8,36.7,81.0,141.0,35.6,9.0,22.0,135.0,D,1.6469999999999998,27.20628000570669
26.0,M,183.4,83.6,14.1,79.0,145.0,50.6,16.0,51.0,231.0,A,1.834,24.854647878614177
32.0,M,170.8,72.2,24.1,80.0,127.0,47.4,16.6,60.0,205.0,B,1.7080000000000002,24.749217074628824
22.0,F,167.0,50.3,18.9,77.0,120.0,27.9,23.3,39.0,168.0,A,1.67,18.03578471798917
21.0,M,175.0,84.7,28.0,61.0,133.0,50.9,11.6,42.0,156.0,D,1.75,27.65714285714286
21.0,M,178.9,75.5,17.2,81.0,138.0,40.8,15.4,55.0,213.0,B,1.7890000000000001,23.589909267897315
54.0,F,148.0,53.4,27.9,97.0,159.0,27.9,23.0,35.0,145.0,A,1.48,24.3791088385683
21.0,M,179.0,82.8,15.4,67.0,122.0,58.9,19.9,56.0,278.0,B,1.79,25.84189007833713
24.0,M,163.9,64.8,23.6,94.0,141.0,39.7,13.2,47.0,224.0,C,1.639,24.122210264521627
31.0,M,178.0,84.66,18.9,75.0,129.0,59.2,15.1,47.0,196.0,A,1.78,26.7201110970837
27.0,M,180.9,77.1,19.9,76.0,156.0,40.9,22.0,52.0,209.0,B,1.8090000000000002,23.560106231327236
22.0,F,163.8,54.2,28.4,96.0,151.0,23.6,19.4,41.0,155.0,B,1.6380000000000001,20.2009359518517
61.0,F,152.6,56.4,37.6,93.0,136.0,28.9,20.2,4.0,125.0,D,1.526,24.219771234813255
60.0,M,171.9,60.9,16.7,78.0,128.0,33.6,10.9,28.0,190.0,B,1.719,20.60940905819061
41.0,F,160.0,50.0,20.6,62.0,106.0,27.4,22.6,38.0,178.0,A,1.6,19.531249999999996
59.0,M,166.1,67.8,25.9,98.0,151.0,40.6,22.4,34.0,188.0,B,1.661,24.574824723143575
51.0,M,174.5,71.2,21.2,92.0,136.0,40.7,13.0,41.0,203.0,C,1.745,23.382402443329692
34.0,M,181.1,70.5,19.4,70.0,131.0,34.1,12.7,40.0,217.0,C,1.811,21.495730886865072
22.0,F,169.2,53.2,16.0,66.0,103.0,30.0,27.1,54.0,202.0,A,1.692,18.58278982166111
22.0,F,162.1,55.1,23.2,61.0,99.0,28.5,23.1,43.0,198.0,A,1.621,20.969378998120366
23.0,F,161.8,47.8,17.2,66.0,103.0,25.2,21.5,47.0,178.0,A,1.618,18.258742423385854
27.0,F,152.3,55.5,37.5,81.0,126.0,16.6,16.1,37.0,113.0,D,1.5230000000000001,23.92727144174528
25.0,F,160.9,63.7,36.1,99.0,144.0,26.4,23.6,37.0,179.0,B,1.609,24.60522519188793
37.0,F,149.5,38.1,17.3,66.0,110.0,16.2,23.0,35.0,167.0,A,1.495,17.046789185803288
21.0,M,170.0,50.1,16.3,67.0,124.0,28.5,6.4,44.0,210.0,C,1.7,17.33564013840831
31.0,M,174.0,67.6,15.6,82.0,140.0,39.3,5.1,38.0,225.0,C,1.74,22.327916501519354
49.0,M,176.2,73.3,22.2,88.0,147.0,45.0,9.9,33.0,223.0,C,1.7619999999999998,23.609792298247406
27.0,M,182.5,81.0,17.8,66.0,115.0,42.0,9.1,44.0,233.0,C,1.825,24.319759804841436
49.0,F,155.9,57.0,23.3,67.0,104.0,25.1,17.5,25.0,110.0,C,1.5590000000000002,23.45214794931538
36.0,F,156.6,55.0,26.6,80.0,124.0,30.1,12.5,24.0,149.0,C,1.5659999999999998,22.427412659499684
33.0,M,179.2,76.3,23.8,85.0,126.0,32.0,8.7,36.0,188.0,D,1.7919999999999998,23.76011439732143
61.0,F,146.5,56.16,37.3,89.0,152.0,26.9,23.5,12.0,118.0,B,1.465,26.166874395741356
24.0,F,166.9,70.0,23.7,55.0,102.0,39.1,23.8,47.0,186.0,A,1.669,25.12958789988803
25.0,M,168.8,63.9,26.0,81.0,131.0,38.2,20.1,49.0,215.0,B,1.6880000000000002,22.426214595359486
28.0,F,161.4,55.9,35.2,77.0,128.0,22.4,18.1,30.0,152.0,B,1.614,21.458766155495052
26.0,F,162.6,57.2,32.6,69.0,116.0,26.9,20.6,43.0,128.0,A,1.626,21.634902695890432
62.0,M,175.0,68.0,22.6,75.0,123.0,46.0,2.8,33.0,194.0,C,1.75,22.20408163265306
51.0,M,172.4,75.6,23.3,83.0,120.0,47.4,22.4,55.0,211.0,A,1.724,25.435909582743417
26.0,M,180.2,103.4,24.7,70.0,128.0,67.6,16.2,46.0,219.0,B,1.8019999999999998,31.842779203277658
21.0,F,160.7,56.6,29.2,71.0,110.0,25.6,30.1,32.0,157.0,B,1.607,21.917180165029396
56.0,F,149.0,46.7,23.2,95.0,157.0,25.0,28.0,41.0,186.0,A,1.49,21.0350885095266
52.0,M,165.4,74.8,27.5,86.0,143.0,38.9,18.2,56.0,217.0,B,1.6540000000000001,27.34201942014448
21.0,F,169.2,64.9,35.3,68.0,125.0,29.9,22.3,39.0,174.0,B,1.692,22.669606380184323
56.0,F,157.2,60.4,36.2,70.0,118.0,24.2,14.3,16.0,132.0,C,1.5719999999999998,24.44172510019489
36.0,M,169.9,67.1,17.9,98.0,149.0,48.8,16.3,59.0,228.0,B,1.699,23.245332486200894
32.0,F,163.5,55.6,25.5,68.0,108.0,28.2,24.5,36.0,183.0,A,1.635,20.79884783360922
21.0,F,159.9,49.7,25.4,76.0,116.0,23.4,24.3,11.0,145.0,D,1.599,19.43835284795336
